"Years","Accumulation","District","Value"
"2020","ON","Marara",40.78
"1981","ND","Marara",144.74
"1982","ND","Marara",138.06
"1983","ND","Marara",155.92
"1984","ND","Marara",211.41
"1985","ND","Marara",359.15
"1986","ND","Marara",194.19
"1987","ND","Marara",160.26
"1988","ND","Marara",104.75
"1989","ND","Marara",223.86
"1990","ND","Marara",147.48
"1991","ND","Marara",125.67
"1992","ND","Marara",212.5
"1993","ND","Marara",182.09
"1994","ND","Marara",145.09
"1995","ND","Marara",293.39
"1996","ND","Marara",239.65
"1997","ND","Marara",249.12
"1998","ND","Marara",259.5
"1999","ND","Marara",98.59
"2000","ND","Marara",243.4
"2001","ND","Marara",227.26
"2002","ND","Marara",145.13
"2003","ND","Marara",134.19
"2004","ND","Marara",321.79
"2005","ND","Marara",269.4
"2006","ND","Marara",211.49
"2007","ND","Marara",298.87
"2008","ND","Marara",128.56
"2009","ND","Marara",276.4
"2010","ND","Marara",220.23
"2011","ND","Marara",191.28
"2012","ND","Marara",173.58
"2013","ND","Marara",155.59
"2014","ND","Marara",246.64
"2015","ND","Marara",140.6
"2016","ND","Marara",225.58
"2017","ND","Marara",183.73
"2018","ND","Marara",238.76
"2019","ND","Marara",147.14
"2020","ND","Marara",242.46
"1982","DJ","Marara",278.73
"1983","DJ","Marara",168.5
"1984","DJ","Marara",209.3
"1985","DJ","Marara",358.89
"1986","DJ","Marara",506.94
"1987","DJ","Marara",357.05
"1988","DJ","Marara",303.49
"1989","DJ","Marara",291.64
"1990","DJ","Marara",459.71
"1991","DJ","Marara",250.6
"1992","DJ","Marara",160
"1993","DJ","Marara",361.1
"1994","DJ","Marara",239.48
"1995","DJ","Marara",379.77
"1996","DJ","Marara",429.28
"1997","DJ","Marara",489.38
"1998","DJ","Marara",436.5
"1999","DJ","Marara",527.3
"2000","DJ","Marara",279.29
"2001","DJ","Marara",282.93
"2002","DJ","Marara",329.68
"2003","DJ","Marara",310.21
"2004","DJ","Marara",344.77
"2005","DJ","Marara",456.52
"2006","DJ","Marara",434.89
"2007","DJ","Marara",386.46
"2008","DJ","Marara",500.51
"2009","DJ","Marara",371.99
"2010","DJ","Marara",330.35
"2011","DJ","Marara",485.67
"2012","DJ","Marara",398.87
"2013","DJ","Marara",403.7
"2014","DJ","Marara",349.05
"2015","DJ","Marara",567.06
"2016","DJ","Marara",218.2
"2017","DJ","Marara",483.09
"2018","DJ","Marara",162.76
"2019","DJ","Marara",456.65
"2020","DJ","Marara",292.06
"2021","DJ","Marara",493.03
"1981","JF","Macossa",370.37
"1982","JF","Macossa",459.88
"1983","JF","Macossa",210.31
"1984","JF","Macossa",265.31
"1985","JF","Macossa",499.93
"1986","JF","Macossa",494.75
"1987","JF","Macossa",261.52
"1988","JF","Macossa",415.13
"1989","JF","Macossa",508.65
"1990","JF","Macossa",420.49
"1991","JF","Macossa",266
"1992","JF","Macossa",115.13
"1993","JF","Macossa",416.54
"1994","JF","Macossa",341.91
"1995","JF","Macossa",227.27
"1996","JF","Macossa",509.53
"1997","JF","Macossa",837.48
"1998","JF","Macossa",465.31
"1999","JF","Macossa",632.86
"2000","JF","Macossa",541.94
"2001","JF","Macossa",623.84
"2002","JF","Macossa",180.82
"2003","JF","Macossa",261.99
"2004","JF","Macossa",394.63
"2005","JF","Macossa",248.13
"2006","JF","Macossa",322.62
"2007","JF","Macossa",489.62
"2008","JF","Macossa",387.99
"2009","JF","Macossa",359.3
"2010","JF","Macossa",305.53
"2011","JF","Macossa",488.66
"2012","JF","Macossa",296.75
"2013","JF","Macossa",384.68
"2014","JF","Macossa",456.9
"2015","JF","Macossa",263.32
"2016","JF","Macossa",175.29
"2017","JF","Macossa",517.79
"2018","JF","Macossa",428.92
"2019","JF","Macossa",573.86
"2020","JF","Macossa",432.73
"2021","JF","Macossa",530.49
"1981","FM","Macossa",304.26
"1982","FM","Macossa",289.63
"1983","FM","Macossa",232.2
"1984","FM","Macossa",339.45
"1985","FM","Macossa",350.55
"1986","FM","Macossa",230.33
"1987","FM","Macossa",107.89
"1988","FM","Macossa",435.97
"1989","FM","Macossa",377.03
"1990","FM","Macossa",229.18
"1991","FM","Macossa",267.23
"1992","FM","Macossa",106.95
"1993","FM","Macossa",242.13
"1994","FM","Macossa",157.24
"1995","FM","Macossa",86.58
"1996","FM","Macossa",255.4
"1997","FM","Macossa",506.78
"1998","FM","Macossa",216.81
"1999","FM","Macossa",343.13
"2000","FM","Macossa",432.35
"2001","FM","Macossa",652.08
"2002","FM","Macossa",145.44
"2003","FM","Macossa",314.16
"2004","FM","Macossa",362.75
"2005","FM","Macossa",100.77
"2006","FM","Macossa",275
"2007","FM","Macossa",238.29
"2008","FM","Macossa",137.25
"2009","FM","Macossa",229.09
"2010","FM","Macossa",245.33
"2011","FM","Macossa",114.41
"2012","FM","Macossa",216.72
"2013","FM","Macossa",177.33
"2014","FM","Macossa",235.96
"2015","FM","Macossa",201.65
"2016","FM","Macossa",180.52
"2017","FM","Macossa",311.58
"2018","FM","Macossa",445.79
"2019","FM","Macossa",258.91
"2020","FM","Macossa",238.16
"2021","FM","Macossa",232.77
"1981","MA","Macossa",126.64
"1982","MA","Macossa",71.95
"1983","MA","Macossa",115.25
"1984","MA","Macossa",192.53
"1985","MA","Macossa",182.9
"1986","MA","Macossa",102.76
"1987","MA","Macossa",71.79
"1988","MA","Macossa",267.22
"1989","MA","Macossa",102.34
"1990","MA","Macossa",113.48
"1991","MA","Macossa",109.68
"1992","MA","Macossa",98.49
"1993","MA","Macossa",89
"1994","MA","Macossa",73.99
"1995","MA","Macossa",72.98
"1996","MA","Macossa",77.73
"1997","MA","Macossa",190.59
"1998","MA","Macossa",96.19
"1999","MA","Macossa",104.44
"2000","MA","Macossa",174.02
"2001","MA","Macossa",291.07
"2002","MA","Macossa",134.43
"2003","MA","Macossa",216.97
"2004","MA","Macossa",224.68
"2005","MA","Macossa",59.51
"2006","MA","Macossa",187.02
"2007","MA","Macossa",58.91
"2008","MA","Macossa",93.61
"2009","MA","Macossa",158.22
"2010","MA","Macossa",88.46
"2011","MA","Macossa",99.73
"2012","MA","Macossa",139.16
"2013","MA","Macossa",86.67
"2014","MA","Macossa",82.16
"2015","MA","Macossa",82.73
"2016","MA","Macossa",166.95
"2017","MA","Macossa",164.71
"2018","MA","Macossa",102.02
"2019","MA","Macossa",179.66
"2020","MA","Macossa",66.07
"2021","MA","Macossa",78.99
"1981","ON","Macossa",137.86
"1982","ON","Macossa",102.05
"1983","ON","Macossa",59.26
"1984","ON","Macossa",109.25
"1985","ON","Macossa",138.74
"1986","ON","Macossa",106.66
"1987","ON","Macossa",72.66
"1988","ON","Macossa",153.27
"1989","ON","Macossa",126.44
"1990","ON","Macossa",95.75
"1991","ON","Macossa",126.47
"1992","ON","Macossa",87.17
"1993","ON","Macossa",139.44
"1994","ON","Macossa",73.73
"1995","ON","Macossa",68.3
"1996","ON","Macossa",81.7
"1997","ON","Macossa",173.34
"1998","ON","Macossa",166.33
"1999","ON","Macossa",122.39
"2000","ON","Macossa",157.43
"2001","ON","Macossa",139.08
"2002","ON","Macossa",100.8
"2003","ON","Macossa",94.06
"2004","ON","Macossa",130.15
"2005","ON","Macossa",89.48
"2006","ON","Macossa",109.32
"2007","ON","Macossa",158.64
"2008","ON","Macossa",53.79
"2009","ON","Macossa",111.77
"2010","ON","Macossa",94.22
"2011","ON","Macossa",104.76
"2012","ON","Macossa",55.98
"2013","ON","Macossa",92.18
"2014","ON","Macossa",37.65
"2015","ON","Macossa",41.43
"2016","ON","Macossa",110.41
"2017","ON","Macossa",110.48
"2018","ON","Macossa",122.71
"2019","ON","Macossa",91.2
"2020","ON","Macossa",78.09
"1981","ND","Macossa",234.55
"1982","ND","Macossa",188.13
"1983","ND","Macossa",150.03
"1984","ND","Macossa",299.55
"1985","ND","Macossa",373.41
"1986","ND","Macossa",222.08
"1987","ND","Macossa",269.01
"1988","ND","Macossa",206.64
"1989","ND","Macossa",396.49
"1990","ND","Macossa",186.15
"1991","ND","Macossa",160.34
"1992","ND","Macossa",234.61
"1993","ND","Macossa",256.9
"1994","ND","Macossa",265.92
"1995","ND","Macossa",285.49
"1996","ND","Macossa",185.55
"1997","ND","Macossa",270.36
"1998","ND","Macossa",367.5
"1999","ND","Macossa",183.5
"2000","ND","Macossa",239.31
"2001","ND","Macossa",413.57
"2002","ND","Macossa",161.69
"2003","ND","Macossa",163.53
"2004","ND","Macossa",318.25
"2005","ND","Macossa",380.34
"2006","ND","Macossa",174.78
"2007","ND","Macossa",521.73
"2008","ND","Macossa",352.09
"2009","ND","Macossa",267.38
"2010","ND","Macossa",243.34
"2011","ND","Macossa",229.58
"2012","ND","Macossa",215.88
"2013","ND","Macossa",219.1
"2014","ND","Macossa",314.83
"2015","ND","Macossa",144.86
"2016","ND","Macossa",312.44
"2017","ND","Macossa",224.24
"2018","ND","Macossa",225.1
"2019","ND","Macossa",167.95
"2020","ND","Macossa",310.32
"1982","DJ","Macossa",347.92
"1983","DJ","Macossa",202.63
"1984","DJ","Macossa",212.69
"1985","DJ","Macossa",514.96
"1986","DJ","Macossa",610.29
"1987","DJ","Macossa",368.37
"1988","DJ","Macossa",426.93
"1989","DJ","Macossa",331.65
"1990","DJ","Macossa",577.86
"1991","DJ","Macossa",194.87
"1992","DJ","Macossa",134.7
"1993","DJ","Macossa",395.23
"1994","DJ","Macossa",370.07
"1995","DJ","Macossa",439.56
"1996","DJ","Macossa",551.28
"1997","DJ","Macossa",569.15
"1998","DJ","Macossa",469.41
"1999","DJ","Macossa",601.54
"2000","DJ","Macossa",336.23
"2001","DJ","Macossa",349.66
"2002","DJ","Macossa",416.56
"2003","DJ","Macossa",250.52
"2004","DJ","Macossa",320.85
"2005","DJ","Macossa",413.25
"2006","DJ","Macossa",520.84
"2007","DJ","Macossa",383.02
"2008","DJ","Macossa",713.19
"2009","DJ","Macossa",581.24
"2010","DJ","Macossa",284.62
"2011","DJ","Macossa",601.06
"2012","DJ","Macossa",340.57
"2013","DJ","Macossa",457.74
"2014","DJ","Macossa",419.54
"2015","DJ","Macossa",419.43
"2016","DJ","Macossa",231.44
"2017","DJ","Macossa",570.74
"2018","DJ","Macossa",177.92
"2019","DJ","Macossa",585.69
"2020","DJ","Macossa",314.81
"2021","DJ","Macossa",624.14
"1981","JF","Tambara",300.21
"1982","JF","Tambara",453.19
"1983","JF","Tambara",209.22
"1984","JF","Tambara",304.66
"1985","JF","Tambara",365.64
"1986","JF","Tambara",503.27
"1987","JF","Tambara",252.54
"1988","JF","Tambara",365.73
"1989","JF","Tambara",508.32
"1990","JF","Tambara",329.55
"1991","JF","Tambara",341.46
"1992","JF","Tambara",93.99
"1993","JF","Tambara",481.86
"1994","JF","Tambara",248.78
"1995","JF","Tambara",315.72
"1996","JF","Tambara",410.33
"1997","JF","Tambara",763.99
"1998","JF","Tambara",426.49
"1999","JF","Tambara",708.19
"2000","JF","Tambara",516
"2001","JF","Tambara",621
"2002","JF","Tambara",259.87
"2003","JF","Tambara",372.96
"2004","JF","Tambara",351.27
"2005","JF","Tambara",210.06
"2006","JF","Tambara",360.82
"2007","JF","Tambara",499.15
"2008","JF","Tambara",288.07
"2009","JF","Tambara",312.53
"2010","JF","Tambara",362.86
"2011","JF","Tambara",358.79
"2012","JF","Tambara",359.43
"2013","JF","Tambara",374.66
"2014","JF","Tambara",418.41
"2015","JF","Tambara",306.52
"2016","JF","Tambara",162.55
"2017","JF","Tambara",558.45
"2018","JF","Tambara",435.26
"2019","JF","Tambara",527.77
"2020","JF","Tambara",481.32
"2021","JF","Tambara",377.08
"1981","FM","Tambara",228.5
"1982","FM","Tambara",287.32
"1983","FM","Tambara",199.71
"1984","FM","Tambara",335.74
"1985","FM","Tambara",271.95
"1986","FM","Tambara",295.02
"1987","FM","Tambara",68.38
"1988","FM","Tambara",375.06
"1989","FM","Tambara",422.24
"1990","FM","Tambara",130.38
"1991","FM","Tambara",286.71
"1992","FM","Tambara",86.59
"1993","FM","Tambara",258.58
"1994","FM","Tambara",105.69
"1995","FM","Tambara",88.29
"1996","FM","Tambara",271.14
"1997","FM","Tambara",534.41
"1998","FM","Tambara",162.15
"1999","FM","Tambara",352.83
"2000","FM","Tambara",363.54
"2001","FM","Tambara",600.14
"2002","FM","Tambara",182.42
"2003","FM","Tambara",262.97
"2004","FM","Tambara",264.05
"2005","FM","Tambara",54.16
"2006","FM","Tambara",281.51
"2007","FM","Tambara",237.99
"2008","FM","Tambara",86.66
"2009","FM","Tambara",185.98
"2010","FM","Tambara",289.97
"2011","FM","Tambara",108.04
"2012","FM","Tambara",197.83
"2013","FM","Tambara",166.01
"2014","FM","Tambara",198.29
"2015","FM","Tambara",174.26
"2016","FM","Tambara",145.58
"2017","FM","Tambara",363.85
"2018","FM","Tambara",439.57
"2019","FM","Tambara",302.32
"2020","FM","Tambara",231.9
"2021","FM","Tambara",176.51
"1981","MA","Tambara",77.94
"1982","MA","Tambara",50.29
"1983","MA","Tambara",69.69
"1984","MA","Tambara",115.71
"1985","MA","Tambara",168.48
"1986","MA","Tambara",88.09
"1987","MA","Tambara",36.87
"1988","MA","Tambara",198.13
"1989","MA","Tambara",139.28
"1990","MA","Tambara",63
"1991","MA","Tambara",91.98
"1992","MA","Tambara",89.79
"1993","MA","Tambara",75.44
"1994","MA","Tambara",57.5
"1995","MA","Tambara",36.03
"1996","MA","Tambara",69.74
"1997","MA","Tambara",126.05
"1998","MA","Tambara",52.71
"1999","MA","Tambara",87.93
"2000","MA","Tambara",112.07
"2001","MA","Tambara",202.57
"2002","MA","Tambara",100.4
"2003","MA","Tambara",127.3
"2004","MA","Tambara",119.5
"2005","MA","Tambara",31.52
"2006","MA","Tambara",144.1
"2007","MA","Tambara",59.87
"2008","MA","Tambara",70.16
"2009","MA","Tambara",121.3
"2010","MA","Tambara",55.03
"2011","MA","Tambara",103.57
"2012","MA","Tambara",112.79
"2013","MA","Tambara",46.59
"2014","MA","Tambara",46.37
"2015","MA","Tambara",65.29
"2016","MA","Tambara",104.08
"2017","MA","Tambara",150.69
"2018","MA","Tambara",81.42
"2019","MA","Tambara",152.5
"2020","MA","Tambara",42.5
"2021","MA","Tambara",75.43
"1981","ON","Tambara",83.26
"1982","ON","Tambara",97.43
"1983","ON","Tambara",37.66
"1984","ON","Tambara",73.74
"1985","ON","Tambara",111.72
"1986","ON","Tambara",81.43
"1987","ON","Tambara",37.24
"1988","ON","Tambara",103.61
"1989","ON","Tambara",100.78
"1990","ON","Tambara",65.27
"1991","ON","Tambara",68.25
"1992","ON","Tambara",57.86
"1993","ON","Tambara",91.53
"1994","ON","Tambara",45
"1995","ON","Tambara",42.05
"1996","ON","Tambara",72.64
"1997","ON","Tambara",112.51
"1998","ON","Tambara",96.95
"1999","ON","Tambara",100.24
"2000","ON","Tambara",144.24
"2001","ON","Tambara",83.67
"2002","ON","Tambara",37.03
"2003","ON","Tambara",28.77
"2004","ON","Tambara",103.93
"2005","ON","Tambara",63.98
"2006","ON","Tambara",101.77
"2007","ON","Tambara",77.09
"2008","ON","Tambara",22
"2009","ON","Tambara",46.04
"2010","ON","Tambara",60.87
"2011","ON","Tambara",77.69
"2012","ON","Tambara",41.74
"2013","ON","Tambara",61.53
"2014","ON","Tambara",20.52
"2015","ON","Tambara",27.27
"2016","ON","Tambara",66.72
"2017","ON","Tambara",103.18
"2018","ON","Tambara",103.25
"2019","ON","Tambara",67.87
"2020","ON","Tambara",27.77
"1981","ND","Tambara",172.98
"1982","ND","Tambara",152.77
"1983","ND","Tambara",205.27
"1984","ND","Tambara",283.84
"1985","ND","Tambara",340.61
"1986","ND","Tambara",180.65
"1987","ND","Tambara",202.54
"1988","ND","Tambara",139.94
"1989","ND","Tambara",254.74
"1990","ND","Tambara",119.57
"1991","ND","Tambara",113.8
"1992","ND","Tambara",224.25
"1993","ND","Tambara",165.08
"1994","ND","Tambara",170.8
"1995","ND","Tambara",310.81
"1996","ND","Tambara",229.02
"1997","ND","Tambara",282.83
"1998","ND","Tambara",374.13
"1999","ND","Tambara",138.09
"2000","ND","Tambara",231.46
"2001","ND","Tambara",386.05
"2002","ND","Tambara",142.98
"2003","ND","Tambara",121.77
"2004","ND","Tambara",353.22
"2005","ND","Tambara",360.31
"2006","ND","Tambara",245.68
"2007","ND","Tambara",333.98
"2008","ND","Tambara",144.38
"2009","ND","Tambara",232.84
"2010","ND","Tambara",252.71
"2011","ND","Tambara",197.61
"2012","ND","Tambara",222.59
"2013","ND","Tambara",192.93
"2014","ND","Tambara",293.73
"2015","ND","Tambara",161.44
"2016","ND","Tambara",323.5
"2017","ND","Tambara",228.76
"2018","ND","Tambara",232.22
"2019","ND","Tambara",153.28
"2020","ND","Tambara",230.9
"1982","DJ","Tambara",303.71
"1983","DJ","Tambara",179.8
"1984","DJ","Tambara",255.08
"1985","DJ","Tambara",446.25
"1986","DJ","Tambara",535.12
"1987","DJ","Tambara",340.9
"1988","DJ","Tambara",349.04
"1989","DJ","Tambara",277.43
"1990","DJ","Tambara",412.13
"1991","DJ","Tambara",188.73
"1992","DJ","Tambara",134.16
"1993","DJ","Tambara",444.89
"1994","DJ","Tambara",272.21
"1995","DJ","Tambara",408.45
"1996","DJ","Tambara",475.63
"1997","DJ","Tambara",482.37
"1998","DJ","Tambara",498.81
"1999","DJ","Tambara",714.32
"2000","DJ","Tambara",296.64
"2001","DJ","Tambara",317.19
"2002","DJ","Tambara",462.77
"2003","DJ","Tambara",343.03
"2004","DJ","Tambara",279.99
"2005","DJ","Tambara",441.95
"2006","DJ","Tambara",508.88
"2007","DJ","Tambara",462.02
"2008","DJ","Tambara",531.47
"2009","DJ","Tambara",365.67
"2010","DJ","Tambara",300.34
"2011","DJ","Tambara",521.35
"2012","DJ","Tambara",390.43
"2013","DJ","Tambara",435.56
"2014","DJ","Tambara",399.58
"2015","DJ","Tambara",468.63
"2016","DJ","Tambara",244.48
"2017","DJ","Tambara",596.93
"2018","DJ","Tambara",181.19
"2019","DJ","Tambara",495.35
"2020","DJ","Tambara",365
"2021","DJ","Tambara",476.16
"1981","JFM","Chibuto",404.61
"1982","JFM","Chibuto",227.8
"1983","JFM","Chibuto",156.53
"1984","JFM","Chibuto",391.18
"1985","JFM","Chibuto",430.12
"1986","JFM","Chibuto",204.81
"1987","JFM","Chibuto",218.55
"1988","JFM","Chibuto",237.22
"1989","JFM","Chibuto",180.92
"1990","JFM","Chibuto",366.2
"1991","JFM","Chibuto",346.12
"1992","JFM","Chibuto",144.98
"1993","JFM","Chibuto",335.07
"1994","JFM","Chibuto",232.89
"1995","JFM","Chibuto",170.97
"1996","JFM","Chibuto",427.8
"1997","JFM","Chibuto",464.68
"1998","JFM","Chibuto",304.2
"1999","JFM","Chibuto",484.53
"2000","JFM","Chibuto",860.23
"2001","JFM","Chibuto",386.35
"2002","JFM","Chibuto",92.45
"2003","JFM","Chibuto",260.86
"2004","JFM","Chibuto",460.81
"2005","JFM","Chibuto",208.96
"2006","JFM","Chibuto",438
"2007","JFM","Chibuto",247.09
"2008","JFM","Chibuto",152.08
"2009","JFM","Chibuto",236.32
"2010","JFM","Chibuto",216.35
"2011","JFM","Chibuto",440.55
"2012","JFM","Chibuto",226.2
"2013","JFM","Chibuto",540.72
"2014","JFM","Chibuto",357.31
"2015","JFM","Chibuto",235.41
"2016","JFM","Chibuto",160.05
"2017","JFM","Chibuto",498.8
"2018","JFM","Chibuto",321.86
"2019","JFM","Chibuto",384.81
"2020","JFM","Chibuto",313.46
"2021","JFM","Chibuto",598.83
"1981","FMA","Chibuto",301.52
"1982","FMA","Chibuto",227.07
"1983","FMA","Chibuto",113.52
"1984","FMA","Chibuto",204.98
"1985","FMA","Chibuto",251.98
"1986","FMA","Chibuto",152.14
"1987","FMA","Chibuto",154.68
"1988","FMA","Chibuto",237.96
"1989","FMA","Chibuto",207.73
"1990","FMA","Chibuto",253.57
"1991","FMA","Chibuto",310.46
"1992","FMA","Chibuto",84.14
"1993","FMA","Chibuto",346.16
"1994","FMA","Chibuto",100.88
"1995","FMA","Chibuto",213.43
"1996","FMA","Chibuto",258.97
"1997","FMA","Chibuto",252.95
"1998","FMA","Chibuto",111.75
"1999","FMA","Chibuto",370.3
"2000","FMA","Chibuto",597.58
"2001","FMA","Chibuto",380.31
"2002","FMA","Chibuto",112.15
"2003","FMA","Chibuto",266.83
"2004","FMA","Chibuto",412.39
"2005","FMA","Chibuto",171.35
"2006","FMA","Chibuto",308.12
"2007","FMA","Chibuto",262.61
"2008","FMA","Chibuto",84.91
"2009","FMA","Chibuto",154.96
"2010","FMA","Chibuto",224.54
"2011","FMA","Chibuto",116.6
"2012","FMA","Chibuto",179.49
"2013","FMA","Chibuto",148.54
"2014","FMA","Chibuto",256.04
"2015","FMA","Chibuto",221.17
"2016","FMA","Chibuto",132.42
"2017","FMA","Chibuto",281.72
"2018","FMA","Chibuto",334.93
"2019","FMA","Chibuto",310.56
"2020","FMA","Chibuto",203.55
"2021","FMA","Chibuto",373.46
"1981","OND","Chibuto",260.57
"1982","OND","Chibuto",135.91
"1983","OND","Chibuto",179.47
"1984","OND","Chibuto",210.93
"1985","OND","Chibuto",216.67
"1986","OND","Chibuto",187.81
"1987","OND","Chibuto",213.56
"1988","OND","Chibuto",117.26
"1989","OND","Chibuto",300.48
"1990","OND","Chibuto",191.55
"1991","OND","Chibuto",94.02
"1992","OND","Chibuto",308.86
"1993","OND","Chibuto",227.84
"1994","OND","Chibuto",210.71
"1995","OND","Chibuto",190.5
"1996","OND","Chibuto",100.05
"1997","OND","Chibuto",168.09
"1998","OND","Chibuto",387.41
"1999","OND","Chibuto",212.34
"2000","OND","Chibuto",207.72
"2001","OND","Chibuto",375.9
"2002","OND","Chibuto",214.1
"2003","OND","Chibuto",178.58
"2004","OND","Chibuto",174.66
"2005","OND","Chibuto",209.78
"2006","OND","Chibuto",220.42
"2007","OND","Chibuto",307.16
"2008","OND","Chibuto",230.43
"2009","OND","Chibuto",120.94
"2010","OND","Chibuto",236.23
"2011","OND","Chibuto",191.18
"2012","OND","Chibuto",210.94
"2013","OND","Chibuto",227.51
"2014","OND","Chibuto",195.99
"2015","OND","Chibuto",110.94
"2016","OND","Chibuto",266.99
"2017","OND","Chibuto",119.07
"2018","OND","Chibuto",151.93
"2019","OND","Chibuto",134.76
"2020","OND","Chibuto",238.14
"1982","NDJ","Chibuto",256.47
"1983","NDJ","Chibuto",179.7
"1984","NDJ","Chibuto",386.36
"1985","NDJ","Chibuto",385.7
"1986","NDJ","Chibuto",276.68
"1987","NDJ","Chibuto",241.94
"1988","NDJ","Chibuto",235.09
"1989","NDJ","Chibuto",82.69
"1990","NDJ","Chibuto",412.95
"1991","NDJ","Chibuto",241.95
"1992","NDJ","Chibuto",157.98
"1993","NDJ","Chibuto",333.46
"1994","NDJ","Chibuto",369.1
"1995","NDJ","Chibuto",199.11
"1996","NDJ","Chibuto",396.08
"1997","NDJ","Chibuto",321.25
"1998","NDJ","Chibuto",345.62
"1999","NDJ","Chibuto",496.99
"2000","NDJ","Chibuto",487
"2001","NDJ","Chibuto",240.03
"2002","NDJ","Chibuto",367.54
"2003","NDJ","Chibuto",195.17
"2004","NDJ","Chibuto",214.84
"2005","NDJ","Chibuto",206.31
"2006","NDJ","Chibuto",366.84
"2007","NDJ","Chibuto",275.38
"2008","NDJ","Chibuto",378.77
"2009","NDJ","Chibuto",314.31
"2010","NDJ","Chibuto",198.26
"2011","NDJ","Chibuto",579.48
"2012","NDJ","Chibuto",216.28
"2013","NDJ","Chibuto",582.91
"2014","NDJ","Chibuto",315.49
"2015","NDJ","Chibuto",216.64
"2016","NDJ","Chibuto",139.79
"2017","NDJ","Chibuto",500.82
"2018","NDJ","Chibuto",104.69
"2019","NDJ","Chibuto",238.57
"2020","NDJ","Chibuto",241.33
"2021","NDJ","Chibuto",448.25
"1982","DJF","Chibuto",268.29
"1983","DJF","Chibuto",207.41
"1984","DJF","Chibuto",383.21
"1985","DJF","Chibuto",440.55
"1986","DJF","Chibuto",228.08
"1987","DJF","Chibuto",230.77
"1988","DJF","Chibuto",288.71
"1989","DJF","Chibuto",181.8
"1990","DJF","Chibuto",401.43
"1991","DJF","Chibuto",360.25
"1992","DJF","Chibuto",153.46
"1993","DJF","Chibuto",419.53
"1994","DJF","Chibuto",286.31
"1995","DJF","Chibuto",259.51
"1996","DJF","Chibuto",486.94
"1997","DJF","Chibuto",386.45
"1998","DJF","Chibuto",335.78
"1999","DJF","Chibuto",673.32
"2000","DJF","Chibuto",669.39
"2001","DJF","Chibuto",315.65
"2002","DJF","Chibuto",280.96
"2003","DJF","Chibuto",241.27
"2004","DJF","Chibuto",312.44
"2005","DJF","Chibuto",184.48
"2006","DJF","Chibuto",343.94
"2007","DJF","Chibuto",314.8
"2008","DJF","Chibuto",313.09
"2009","DJF","Chibuto",321.65
"2010","DJF","Chibuto",192.41
"2011","DJF","Chibuto",557.75
"2012","DJF","Chibuto",213.67
"2013","DJF","Chibuto",551.46
"2014","DJF","Chibuto",303.32
"2015","DJF","Chibuto",325.2
"2016","DJF","Chibuto",116.06
"2017","DJF","Chibuto",605.01
"2018","DJF","Chibuto",301.24
"2019","DJF","Chibuto",418.42
"2020","DJF","Chibuto",308.54
"2021","DJF","Chibuto",697.5
"1981","JFM","Guija",355.14
"1982","JFM","Guija",182.53
"1983","JFM","Guija",168.38
"1984","JFM","Guija",351.88
"1985","JFM","Guija",384.42
"1986","JFM","Guija",237.62
"1987","JFM","Guija",186
"1988","JFM","Guija",186.57
"1989","JFM","Guija",170.15
"1990","JFM","Guija",341.8
"1991","JFM","Guija",328.78
"1992","JFM","Guija",149.15
"1993","JFM","Guija",299.43
"1994","JFM","Guija",229.76
"1995","JFM","Guija",153.81
"1996","JFM","Guija",425.27
"1997","JFM","Guija",416.06
"1998","JFM","Guija",283.88
"1999","JFM","Guija",423.8
"2000","JFM","Guija",823.29
"2001","JFM","Guija",342.83
"2002","JFM","Guija",89.79
"2003","JFM","Guija",262.57
"2004","JFM","Guija",442.12
"2005","JFM","Guija",204.53
"2006","JFM","Guija",424.89
"2007","JFM","Guija",170.78
"2008","JFM","Guija",139.89
"2009","JFM","Guija",227.76
"2010","JFM","Guija",196.48
"2011","JFM","Guija",363.64
"2012","JFM","Guija",199.43
"2013","JFM","Guija",494.31
"2014","JFM","Guija",361.73
"2015","JFM","Guija",204.4
"2016","JFM","Guija",184.42
"2017","JFM","Guija",436.76
"2018","JFM","Guija",328.91
"2019","JFM","Guija",367.73
"2020","JFM","Guija",298.69
"2021","JFM","Guija",551.82
"1981","FMA","Guija",273.77
"1982","FMA","Guija",188.98
"1983","FMA","Guija",120.25
"1984","FMA","Guija",188.73
"1985","FMA","Guija",263.78
"1986","FMA","Guija",151.14
"1987","FMA","Guija",130.57
"1988","FMA","Guija",190.29
"1989","FMA","Guija",202.47
"1990","FMA","Guija",214.81
"1991","FMA","Guija",266.1
"1992","FMA","Guija",71.2
"1993","FMA","Guija",315.47
"1994","FMA","Guija",101.36
"1995","FMA","Guija",193.33
"1996","FMA","Guija",261.43
"1997","FMA","Guija",242.87
"1998","FMA","Guija",91.43
"1999","FMA","Guija",334.03
"2000","FMA","Guija",586.64
"2001","FMA","Guija",334.96
"2002","FMA","Guija",103.84
"2003","FMA","Guija",268.86
"2004","FMA","Guija",392.56
"2005","FMA","Guija",162.56
"2006","FMA","Guija",298.38
"2007","FMA","Guija",204.84
"2008","FMA","Guija",94.12
"2009","FMA","Guija",140.12
"2010","FMA","Guija",195.06
"2011","FMA","Guija",114.91
"2012","FMA","Guija",151.69
"2013","FMA","Guija",128.94
"2014","FMA","Guija",265.54
"2015","FMA","Guija",180.37
"2016","FMA","Guija",144.89
"2017","FMA","Guija",252.24
